size,parse_time,parse_mem_kb,tokenize_time,tokenize_mem_kb,translate_time,translate_mem_kb,validate_time,validate_mem_kb
100,0.0041068000718951225,38.494140625,0.0009649000130593777,1.98046875,0.00992615008726716,72.087890625,0.0007423995994031429,2.38671875
200,0.009410900063812733,77.8505859375,0.0017450000159442425,1.93359375,0.014069050317630172,116.703125,0.0016157999634742737,2.29296875
400,0.025363499764353037,156.5791015625,0.005763599649071693,2.01953125,0.03285374981351197,202.8828125,0.005177599843591452,2.33984375
800,0.04204129986464977,313.9501953125,0.01691529992967844,1.97265625,0.08009960013441741,385.94921875,0.007444099988788366,2.24609375
1600,0.08975330041721463,633.96484375,0.02434290014207363,1.92578125,0.15720014995895326,769.388671875,0.0157174002379179,2.15234375
3200,0.20451119961217046,1269.9140625,0.029519999865442514,1.90234375,0.3402358000166714,1545.1953125,0.035065699834376574,2.08203125
6400,0.3870254997164011,2547.53515625,0.11644729971885681,1.90234375,0.5366402000654489,3076.095703125,0.06217270018532872,2.08203125
